[34mINFO:   [0m Using cached SIF image
(1, 1, 1, 0, 1)
(1, 1, 1, .05, 1)
(1, 1, 1, .1, .751315)
(1, 1, 1, .15, .751315)
(1, 1, 1, .2, .547708)
(1, 1, 1, .25, .547708)
(1, 1, 1, .3, .384673)
(1, 1, 1, .35, .384673)
(1, 1, 1, .4, .257701)
(1, 1, 1, .45, .257701)
(1, 1, 1, .5, .162284)
(1, 1, 1, .55, .0939144)
(1, 1, 1, .6, .0939144)
(1, 1, 1, .65, .0480841)
(1, 1, 1, .7, .0480841)
(1, 1, 1, .75, .0202855)
(1, 1, 1, .8, .0202855)
(1, 1, 1, .85, .00601052)
(1, 1, 1, .9, .00601052)
(1, 1, 1, .95, .000751315)
(1, 1, 1, 1, 0)
(1, 1, 2, 0, 1)
(1, 1, 2, .05, 1)
(1, 1, 2, .1, .676183)
(1, 1, 2, .15, .676183)
(1, 1, 2, .2, .432757)
(1, 1, 2, .25, .432757)
(1, 1, 2, .3, .252442)
(1, 1, 2, .35, .252442)
(1, 1, 2, .4, .13148)
(1, 1, 2, .45, .13148)
(1, 1, 2, .5, .0540947)
(1, 1, 2, .55, .0150263)
(1, 1, 2, .6, .0150263)
(1, 1, 2, .65, 0)
(1, 1, 2, .7, 0)
(1, 1, 2, .75, 0)
(1, 1, 2, .8, 0)
(1, 1, 2, .85, 0)
(1, 1, 2, .9, 0)
(1, 1, 2, .95, 0)
(1, 1, 2, 1, 0)
(1, 1, 3, 0, 1)
(1, 1, 3, .05, 1)
(1, 1, 3, .1, .601052)
(1, 1, 3, .15, .601052)
(1, 1, 3, .2, .33133)
(1, 1, 3, .25, .33133)
(1, 1, 3, .3, .144252)
(1, 1, 3, .35, .144252)
(1, 1, 3, .4, .0473328)
(1, 1, 3, .45, .0473328)
(1, 1, 3, .5, 0)
(1, 1, 3, .55, 0)
(1, 1, 3, .6, 0)
(1, 1, 3, .65, 0)
(1, 1, 3, .7, 0)
(1, 1, 3, .75, 0)
(1, 1, 3, .8, 0)
(1, 1, 3, .85, 0)
(1, 1, 3, .9, 0)
(1, 1, 3, .95, 0)
(1, 1, 3, 1, 0)
(1, 1, 4, 0, 1)
(1, 1, 4, .05, 1)
